site_id,date,newt_count,latitude_pipe,longitude_pipe
2,4/25/23,0,35.93568745,-83.93989943
2,4/25/23,0,35.93566939,-83.93989474
2,4/25/23,0,35.93562783,-83.9397566
2,4/25/23,0,35.93561608,-83.93973233
2,4/25/23,0,35.93574223,-83.93998677
2,4/25/23,0,35.93575015,-83.93997864
2,4/25/23,0,35.93575375,-83.93999205
2,4/25/23,0,35.93550315,-83.93997846
2,4/25/23,0,35.93562487,-83.94016851
2,4/25/23,0,35.93569784,-83.93995488
2,4/25/23,0,35.93564347,-83.93983352
2,4/25/23,1,35.9356502,-83.93994036
2,4/25/23,0,35.93559269,-83.93976215
2,4/25/23,0,35.93560496,-83.93988523
2,4/25/23,0,35.93570882,-83.9400462
2,4/25/23,0,35.93571532,-83.94006346
7,5/2/23,0,35.95681773,-83.86817439
7,5/2/23,0,35.95660336,-83.86819258
7,5/2/23,0,35.95675642,-83.86815912
7,5/2/23,0,35.95670126,-83.86813827
7,5/2/23,0,35.95676572,-83.8683101
7,5/2/23,0,35.95671323,-83.86823085
7,5/2/23,0,35.95676417,-83.86841127
7,5/2/23,1,35.95671874,-83.86837439
7,5/2/23,0,35.95676316,-83.86833868
7,5/2/23,0,35.95672265,-83.86818549
7,5/2/23,0,35.95674462,-83.86818541
7,5/2/23,0,35.95675772,-83.86815574
7,5/2/23,0,35.95680732,-83.86827553
7,5/2/23,0,35.95688304,-83.86841192
15,5/19/23,0,35.93340041,-83.87659024
15,5/19/23,0,35.93342371,-83.8765962
15,5/19/23,0,35.93338978,-83.87664355
15,5/19/23,0,35.93327175,-83.87692213
15,5/19/23,1,35.93329709,-83.87675925
15,5/19/23,0,35.93326943,-83.8769038
15,5/19/23,1,35.93329078,-83.87688644
15,5/19/23,0,35.93323487,-83.87697367
15,5/19/23,0,35.93328324,-83.87696337
15,5/19/23,2,35.93328347,-83.87700207
15,5/19/23,0,35.93326443,-83.87705963
15,5/19/23,0,35.9332827,-83.87701489
15,5/19/23,0,35.93336345,-83.87676
15,5/19/23,0,35.93332696,-83.87690541
15,5/19/23,0,35.93332393,-83.87686646
15,5/19/23,0,35.93331144,-83.87686923
15,5/19/23,1,35.93332432,-83.87701681
2,5/31/23,0,35.93573733,-83.93999392
2,5/31/23,0,35.93564389,-83.93985915
2,5/31/23,0,35.93558695,-83.94001812
2,5/31/23,0,35.93557643,-83.93999322
2,5/31/23,0,35.93558972,-83.9400638
2,5/31/23,0,35.93553581,-83.93992797
2,5/31/23,0,35.93578265,-83.93953447
2,5/31/23,0,35.93560782,-83.93980614
2,5/31/23,0,35.93559579,-83.93983925
2,5/31/23,0,35.93559925,-83.93986412
2,5/31/23,0,35.93564294,-83.93982986
2,5/31/23,0,35.93575005,-83.94003853
2,5/31/23,0,35.93572107,-83.93999047
2,5/31/23,0,35.93563714,-83.93984211
2,5/31/23,1,35.93559772,-83.93986678
2,5/31/23,0,35.93559881,-83.93993237
7,6/6/23,0,35.95673847,-83.86836542
7,6/6/23,1,35.9566937,-83.86828442
7,6/6/23,0,35.95668458,-83.86819694
7,6/6/23,0,35.9567,-83.86829803
7,6/6/23,0,35.95677412,-83.86804383
7,6/6/23,1,35.95667196,-83.86820323
7,6/6/23,2,35.95669703,-83.86824581
7,6/6/23,0,35.9566039,-83.86820591
15,6/14/23,2,35.93332363,-83.87672234
15,6/14/23,0,35.93344663,-83.87665621
15,6/14/23,0,35.9333942,-83.87677532
15,6/14/23,1,35.93330691,-83.8770111
15,6/14/23,2,35.93323904,-83.87703626
15,6/14/23,3,35.93342358,-83.87691747
2,7/11/23,0,35.93563502,-83.93983925
2,7/11/23,0,35.93564458,-83.93982466
2,7/11/23,0,35.9356954,-83.93980419
2,7/11/23,0,35.93567588,-83.93986517
2,7/11/23,0,35.93576419,-83.93993572
2,7/11/23,0,35.93574076,-83.93993706
2,7/11/23,0,35.9357566,-83.9399923
2,7/11/23,0,35.93575275,-83.93990991
2,7/11/23,0,35.9357224,-83.93977052
2,7/11/23,0,35.93569931,-83.93986724
2,7/11/23,0,35.9357066,-83.93984805
2,7/11/23,0,35.93557249,-83.93993195
2,7/11/23,0,35.9356455,-83.939983
2,7/11/23,0,35.93573577,-83.93987747
2,7/11/23,0,35.93562429,-83.9398369
2,7/11/23,0,35.93562333,-83.93988325
7,7/19/23,0,35.95671446,-83.86826165
7,7/19/23,1,35.95679897,-83.86829008
7,7/19/23,0,35.95680113,-83.86815562
7,7/19/23,0,35.95658974,-83.86809628
7,7/19/23,0,35.956721,-83.86831278
7,7/19/23,0,35.95665914,-83.86841546
15,8/1/23,0,35.93329612,-83.87704862
15,8/1/23,0,35.93331513,-83.87697971
15,8/1/23,2,35.93329678,-83.87698237
15,8/1/23,0,35.93323738,-83.87684765
15,8/1/23,0,35.93329303,-83.8766107
15,8/1/23,0,35.93327271,-83.87680775
15,8/1/23,0,35.93341813,-83.8768759
15,8/1/23,0,35.93338008,-83.87683491
15,8/1/23,0,35.93326296,-83.87697922
15,8/1/23,0,35.93330544,-83.87693768
15,8/1/23,1,35.93328959,-83.87697432
2,8/8/23,0,35.93562756,-83.93997855
2,8/8/23,0,35.93559395,-83.93988778
2,8/8/23,0,35.93566109,-83.93983849
2,8/8/23,0,35.93563649,-83.93987638
2,8/8/23,0,35.93565811,-83.93987873
2,8/8/23,0,35.9356276,-83.93986314
2,8/8/23,0,35.93561746,-83.93982475
2,8/8/23,0,35.9357224,-83.93990295
2,8/8/23,0,35.93558758,-83.94002457
2,8/8/23,0,35.93545313,-83.9397193
2,8/8/23,0,35.93577722,-83.94000177
2,8/8/23,0,35.93576737,-83.94000026
2,8/8/23,0,35.93561423,-83.9399296
7,8/17/23,2,35.95677993,-83.86819006
7,8/17/23,3,35.95682385,-83.868195
7,8/17/23,0,35.95676528,-83.86824761
7,8/17/23,0,35.95671428,-83.86828502
7,8/17/23,0,35.95674659,-83.8684275
7,8/17/23,0,35.95671536,-83.86826045
7,8/17/23,0,35.95662521,-83.86832809
7,8/17/23,2,35.95679863,-83.86820305
7,8/17/23,0,35.95660692,-83.86839074
7,8/17/23,0,35.95676612,-83.86820265
7,8/17/23,0,35.95662179,-83.86830811
15,8/31/23,1,35.93339922,-83.87669014
15,8/31/23,0,35.93343099,-83.87667002
15,8/31/23,0,35.93344748,-83.87669296
15,8/31/23,0,35.93335114,-83.87683265
15,8/31/23,0,35.93336721,-83.87687454
15,8/31/23,0,35.93328685,-83.87698643
15,8/31/23,0,35.93345652,-83.87673282
15,8/31/23,1,35.93336646,-83.87678378
15,8/31/23,2,35.93334027,-83.87684313
15,8/31/23,0,35.93338117,-83.87694773
15,8/31/23,0,35.93320926,-83.87694748
15,8/31/23,1,35.93329479,-83.87704178
2,9/12/23,0,35.93563523,-83.94006271
2,9/12/23,0,35.93566641,-83.93980346
2,9/12/23,0,35.93558553,-83.94001711
2,9/12/23,0,35.93565937,-83.93986691
2,9/12/23,0,35.93563603,-83.9398312
2,9/12/23,0,35.9357356,-83.93999701
2,9/12/23,0,35.93561197,-83.93987345
2,9/12/23,0,35.93574109,-83.93999498
2,9/12/23,0,35.93573904,-83.94000442
2,9/12/23,0,35.93579248,-83.94003932
2,9/12/23,0,35.93568707,-83.93988032
2,9/12/23,0,35.93570669,-83.9398927
2,9/12/23,0,35.93563228,-83.939843
7,9/20/23,0,35.95671986,-83.86830941
7,9/20/23,0,35.95683721,-83.86828321
7,9/20/23,1,35.95675472,-83.86815606
7,9/20/23,2,35.95680091,-83.86808585
7,9/20/23,0,35.95682653,-83.86820347
7,9/20/23,0,35.95669295,-83.86838291
7,9/20/23,0,35.95682979,-83.86801041
7,9/20/23,0,35.95670013,-83.86817622
15,10/2/23,0,35.9334085,-83.87672358
15,10/2/23,0,35.9334292,-83.87679613
15,10/2/23,1,35.93330635,-83.87698935
15,10/2/23,1,35.93333378,-83.87698244
15,10/2/23,0,35.93333032,-83.87701612
15,10/2/23,0,35.93349646,-83.87655579
15,10/2/23,0,35.93351976,-83.87668991
15,10/2/23,0,35.93333264,-83.87682737
15,10/2/23,0,35.93325112,-83.87684489
15,10/2/23,0,35.93328465,-83.87692097
15,10/2/23,0,35.93336601,-83.87685314
